date,deal_type,buyer/acquirer,target/seller,drug_name,modality,therapeutic_area,disease,stage,upfront_m,milestone_m,total_m,region,strategic_rationale,source_url
2026-01-20,licensing,Pfizer,Novavax,Matrix-M,adjuvant,Infectious Disease,Vaccine Development,Approved,30,500,530,Global,Pfizer licenses Novavax Matrix-M adjuvant technology for vaccine development in up to 2 disease areas,https://www.reuters.com/business/healthcare-pharmaceuticals/novavax-enters-license-agreement-with-pfizer-vaccine-development-2026-01-20/
2026-01-08,licensing,Takeda,Halozyme,,drug delivery,Gastroenterology,IBD,Approved,,,,Global,Takeda secures ENHANZE technology to develop subcutaneous formulation of vedolizumab for inflammatory bowel disease,https://www.takeda.com/newsroom/newsreleases/2026/collaboration-and-license/
2026-01-08,licensing,GSK,Noetik,,AI platform,Oncology,Cancer Discovery,Preclinical,50,,,Global,GSK licenses AI-powered cancer foundation models to accelerate drug discovery using spatial oncology datasets,https://www.fiercebiotech.com/biotech/gsk-inks-model-deal-50m-bet-noetiks-cancer-ai-platform
2026-01-08,acquisition,Eli Lilly,Ventyx Biosciences,VTX3232,small molecule,Immunology,Inflammatory Disease,Phase 2,1200,,1200,Global,Lilly acquires NLRP3 inhibitor platform targeting inflammation across cardiometabolic neurological and immunological disorders,https://www.biopharmadive.com/news/lilly-ventyx-acquire-deal-nlrp3-inflammasome/808988/
2026-01-08,licensing,Foresee,Primevera Therapeutics,,small molecule,Pulmonary,Lung Disease,Preclinical,10,574,584,Global,Foresee out-licenses MMP-12 inhibitors to focus resources on Camcevi receives upfront and milestone payments,https://www.fiercebiotech.com/biotech/foresee-offloads-mmp-12-inhibitors-584m-deal-focus-camcevis-potential
2026-01-06,acquisition,Amgen,Dark Blue Therapeutics,,protein degrader,Oncology,Leukemia,Preclinical,,840,840,Global,Amgen acquires UK biotech advancing protein degraders for leukemia to expand targeted degradation capabilities,https://www.bloomberg.com/news/articles/2026-01-06/amgen-buys-cancer-drug-developer-dark-blue-in-840-million-deal
2026-01-05,partnership,Sanofi,Earendil Labs,,,Immunology,Autoimmune Disease,Preclinical,,,2560,Global,Sanofi partners with AI biotech for discovery of bispecific antibodies targeting autoimmune and inflammatory diseases,https://www.prnewswire.com/news-releases/earendil-labs-announces-strategic-collaboration-with-sanofi-to-discover-bispecific-antibodies-for-autoimmune-diseases-302652305.html
2025-12-24,acquisition,Sanofi,Dynavax,HEPLISAV-B,vaccine,Infectious Disease,Hepatitis B,Approved,2200,,2200,Global,Sanofi acquires hepatitis B vaccine and adjuvant technology to strengthen adult vaccine portfolio,https://www.reuters.com/business/healthcare-pharmaceuticals/sanofi-acquire-us-biotech-dynavax-22-billion-2025-12-24/
2025-12-22,licensing,AstraZeneca,Jacobio Pharma,JAB-23E73,small molecule,Oncology,Solid Tumors,Phase 1,100,1915,2015,Ex-China,AstraZeneca secures ex-China rights to pan-KRAS inhibitor with broad oncology potential across multiple tumor types,https://www.fiercebiotech.com/biotech/astrazeneca-fronts-100m-jacobios-clinical-stage-pan-kras-inhibitor
2025-10-22,licensing,Takeda,Innovent Biologics,IBI363,bispecific antibody,Oncology,Solid Tumors,Phase 3,1200,10200,11400,Ex-China,Takeda gains rights to PD-1/IL-2 bispecific and ADCs from Innovent expanding immuno-oncology and solid tumor pipeline,https://medcitynews.com/2026/01/takeda-andy-plump-innovent-bispecific-antibody-cancer-oncology-adc-tak/
2025-06-02,licensing,Regeneron,Hansoh Pharma,HS-20094,GLP-1/GIP agonist,Metabolic,Obesity,Phase 3,80,1930,2010,Ex-China,Regeneron in-licenses GLP-1/GIP dual agonist from China to compete in obesity market with potential best-in-class profile,https://www.bioworld.com/articles/720864-regeneron-boosts-obesity-pipeline-with-hansohs-glp-1-gip-for-2b
2025-04-17,licensing,Sanofi,Earendil Labs,HXN-1002/HXN-1003,bispecific antibody,Immunology,Crohn's Disease,Preclinical,125,1675,1800,Global,Sanofi licenses two AI-designed bispecific antibodies for Crohn's disease and inflammatory conditions,https://www.prnewswire.com/news-releases/earendil-labs-announces-worldwide-exclusive-license-agreement-with-sanofi-for-next-generation-bispecific-antibodies-for-autoimmune-and-inflammatory-bowel-diseases-302431020.html
2025-03-20,acquisition,Sanofi,Dren Bio,DR-0201,bispecific antibody,Immunology,Autoimmune Disease,Phase 1,600,1300,1900,Global,Sanofi acquires bispecific myeloid cell engager for deep B-cell depletion in autoimmune diseases,https://www.fiercebiotech.com/biotech/sanofi-pens-19b-deal-dren-bios-bispecific-latest-immunology-play
2026-03-03,licensing,Sanofi,Sino Biopharm (Chia Tai Tianqing),rovadicitinib,small molecule JAK1/2-ROCK1/2 inhibitor,Hematology/Immunology,Myelofibrosis / cGVHD,Approved (China MF),135,1395,1530,Global,Sanofi licenses first-in-class dual JAK/ROCK inhibitor from established Chinese pharma -- largest China-to-West out-license from non-startup; core value in cGVHD,https://www.fiercebiotech.com/pharma/sanofi-strikes-15b-global-licensing-deal-sino-biopharm-first-class-jak-asset
2026-03-05,collaboration,Alnylam,Tenaya Therapeutics,up to 15 genetic targets,RNAi (siRNA),Cardiovascular,Heart Disease (multiple),Discovery,10,1120,1130,Global,Genetics-first CV drug discovery collab: Tenaya validates genetic targets from 150+ candidates and Alnylam develops siRNA therapies,https://www.reuters.com/business/healthcare-pharmaceuticals/tenaya-therapeutics-inks-113-billion-deal-with-alnylam-heart-disease-treatments-2026-03-05/
2026-03-09,licensing,Alfasigma,GSK,linerixibat,small molecule IBAT inhibitor,Hepatology,Cholestatic Pruritus in PBC,Phase 3 / PDUFA Mar 24,300,390,690,Global,GSK divests PDUFA-ready liver disease asset to Alfasigma -- potential first-in-class approval for cholestatic pruritus,https://www.reuters.com/business/healthcare-pharmaceuticals/gsk-licenses-liver-disease-drug-italys-alfasigma-2026-03-09/
2026-03-09,reverse merger,Candid Therapeutics,Rallybio,TCE pipeline,T-cell engager (bispecific),Oncology/Immunology,Multiple,Preclinical-Phase 1,,,,Global,TCE specialist Candid gains Nasdaq listing via reverse merger with Rallybio; $370M Series A + $925M WuXi deal; funded through 2030,https://www.fiercebiotech.com/biotech/tce-biotech-candid-scores-nasdaq-listing-reverse-merger-rare-disease-company-rallybio
2026-03-09,termination,Boehringer Ingelheim,OSE Immunotherapeutics,OSE-230,bispecific antibody,Hepatology,MASH (liver cirrhosis),Phase 1,,,,Global,Boehringer terminates MASH deal with OSE after efficacy failure; retains oncology rights; OSE restructuring pipeline,https://www.fiercebiotech.com/biotech/boehringer-axes-mash-deal-ose-biotech-continues-whittle-down-pipeline
2026-03-04,settlement,Moderna,Roivant / Arbutus / Genevant,mRNA-LNP patents,mRNA-LNP delivery,Multiple,COVID-19 Vaccines,Approved,,2250,2250,Global,Moderna settles longstanding mRNA vaccine LNP patent litigation days before trial; establishes IP valuation benchmark for LNP delivery technology,https://www.biopharmadive.com/news/moderna-roivant-arbutus-genevant-patent-settlement-mrna-vaccines/813792/
2026-03-07,licensing,Tenacia Biotechnology,Rapport Therapeutics,RAP-219,small molecule,Neurology,Focal Onset Seizures,Phase 2a,,308,308,Greater China,Tenacia secures China rights to epilepsy drug with Phase 3 launch Q2 2026; RAP-219 showed significant reduction in long seizure episodes in Phase 2a,https://www.fiercebiotech.com/biotech/tenacia-builds-308m-biobuck-deal-rapport-develop-epilepsy-drug-china
